berg_id,date,latitude,longitude,sensor,length_km,width_km
A61,2017-01-01,-63.4093,-34.533,ascat,,
A61,2017-01-02,-63.3836,-34.5994,ascat,,
A61,2017-01-03,-63.3836,-34.5994,ascat,,
A61,2017-01-04,-63.3836,-34.5994,ascat,,
A61,2017-01-05,-63.3836,-34.5994,ascat,,
A61,2017-01-06,-63.3833,-34.65,nic,24.076,7.408
A61,2017-01-07,-63.3836,-34.5994,ascat,,
A61,2017-01-08,-63.3836,-34.5994,ascat,,
A61,2017-01-09,-63.3836,-34.5994,ascat,,
A61,2017-01-10,-63.3812,-34.5715,ascat,,
A61,2017-01-11,-63.3788,-34.5125,ascat,,
A61,2017-01-12,-63.4029,-34.4175,ascat,,
A61,2017-01-13,-63.4029,-34.4175,ascat,24.076,7.408
A61,2017-01-14,-63.4029,-34.4175,ascat,,
A61,2017-01-15,-63.4029,-34.4175,ascat,,
A61,2017-01-16,-63.3979,-34.3309,ascat,,
A61,2017-01-17,-63.3979,-34.3309,ascat,,
A61,2017-01-18,-63.3979,-34.3309,ascat,,
A61,2017-01-19,-63.4463,-34.405,ascat,,
A61,2017-01-20,-63.4947,-34.4792,ascat,24.076,7.408
A61,2017-01-21,-63.4947,-34.4792,ascat,,
A61,2017-01-22,-63.4947,-34.4792,ascat,,
A61,2017-01-23,-63.4947,-34.4792,ascat,,
A61,2017-01-24,-63.4947,-34.4792,ascat,,
A61,2017-01-25,-63.4947,-34.4792,ascat,,
A61,2017-01-26,-63.4947,-34.4792,ascat,,
A61,2017-01-27,-63.4947,-34.4792,ascat,24.076,7.408
A61,2017-01-28,-63.4947,-34.4792,ascat,,
A61,2017-01-29,-63.4947,-34.4792,ascat,,
A61,2017-01-30,-63.4947,-34.4792,ascat,,
A61,2017-01-31,-63.4797,-34.4066,ascat,,
A61,2017-02-01,-63.4413,-34.2214,ascat,,
A61,2017-02-02,-63.3897,-33.9724,ascat,,
A61,2017-02-03,-63.5333,-33.8167,nic,24.076,7.408
A61,2017-02-04,-63.2875,-33.4787,ascat,,
A61,2017-02-05,-63.2571,-33.3316,ascat,,
A61,2017-02-06,-63.2432,-33.2643,ascat,,
A61,2017-02-07,-63.2432,-33.2643,ascat,,
A61,2017-02-08,-63.2432,-33.2643,ascat,,
A61,2017-02-09,-63.2432,-33.2643,ascat,,
A61,2017-02-10,-63.5167,-33.5667,nic,24.076,7.408
A61,2017-02-11,-63.2432,-33.2643,ascat,,
A61,2017-02-12,-63.2432,-33.2643,ascat,,
A61,2017-02-13,-63.2432,-33.2643,ascat,,
A61,2017-02-14,-63.2432,-33.2643,ascat,,
A61,2017-02-15,-63.2432,-33.2643,ascat,,
A61,2017-02-16,-63.2432,-33.2643,ascat,,
A61,2017-02-17,-63.2432,-33.2643,ascat,24.076,7.408
A61,2017-02-18,-63.2432,-33.2643,ascat,,
A61,2017-02-19,-63.5835,-33.2428,ascat,,
A61,2017-02-20,-63.5835,-33.2428,ascat,,
A61,2017-02-21,-63.5835,-33.2428,ascat,,
A61,2017-02-22,-63.5835,-33.2428,ascat,,
A61,2017-02-23,-63.5653,-32.9817,ascat,,
A61,2017-02-24,-63.5471,-32.7206,ascat,,
A61,2017-02-25,-63.5471,-32.7206,ascat,,
A61,2017-02-26,-63.5471,-32.7206,ascat,,
A61,2017-02-27,-63.5471,-32.7206,ascat,,
A61,2017-02-28,-63.5471,-32.7206,ascat,,
A61,2017-03-01,-63.5712,-32.5479,ascat,,
A61,2017-03-02,-63.5659,-32.3849,ascat,,
A61,2017-03-03,-63.5659,-32.3849,ascat,,
A61,2017-03-04,-63.5659,-32.3849,ascat,,
A61,2017-03-05,-63.5659,-32.3849,ascat,,
A61,2017-03-06,-63.5632,-32.3037,ascat,,
A61,2017-03-07,-63.5377,-32.0604,ascat,,
A61,2017-03-08,-63.5145,-31.8732,ascat,,
A61,2017-03-09,-63.5823,-32.3837,ascat,,
A61,2017-03-10,-63.5823,-32.3837,ascat,,
A61,2017-03-11,-63.5823,-32.3837,ascat,,
A61,2017-03-12,-63.5823,-32.3837,ascat,,
A61,2017-03-13,-63.6227,-32.1284,ascat,,
A61,2017-03-14,-63.6227,-32.1284,ascat,,
A61,2017-03-15,-63.6227,-32.1284,ascat,,
A61,2017-03-16,-63.6227,-32.1284,ascat,,
A61,2017-03-17,-63.5246,-32.0945,ascat,,
A61,2017-03-18,-63.5246,-32.0945,ascat,,
A61,2017-03-19,-63.5246,-32.0945,ascat,,
A61,2017-03-20,-63.5301,-31.8181,ascat,,
A61,2017-03-21,-63.4518,-31.4541,ascat,,
A61,2017-03-22,-63.4518,-31.4541,ascat,,
A61,2017-03-23,-63.4518,-31.4541,ascat,,
A61,2017-03-24,-63.4518,-31.4541,ascat,,
A61,2017-03-25,-63.3986,-31.2035,ascat,,
