lead_day,model_rmse,persistence_rmse,climatology_rmse,damped_rmse,model_iiee_km2,persistence_iiee_km2,climatology_iiee_km2,model_acc_15,persistence_acc_15,climatology_acc_15,skill_vs_persistence,skill_vs_climatology
1,0.040619,0.031162,0.149822,0.033369,205810.483871,174108.870968,1545536.290323,0.991212,0.992566,0.934006,-0.6991,0.9265
2,0.052021,0.046171,0.150024,0.048754,284508.064516,277745.967742,1542290.322581,0.987852,0.98814,0.934145,-0.2695,0.8798
3,0.060422,0.056855,0.149994,0.059282,354955.645161,361516.129032,1541548.387097,0.984844,0.984563,0.934176,-0.1294,0.8377
4,0.066418,0.065349,0.150181,0.067453,411161.290323,429536.290323,1538157.258065,0.982444,0.981659,0.934321,-0.033,0.8044
5,0.071173,0.072696,0.150109,0.074257,457120.967742,491741.935484,1537322.580645,0.980481,0.979003,0.934357,0.0415,0.7752
6,0.07601,0.079094,0.150285,0.080056,507040.322581,548217.741935,1533129.032258,0.97835,0.976591,0.934536,0.0765,0.7442
7,0.079729,0.085195,0.150304,0.085353,544274.193548,602471.774194,1532842.741935,0.97676,0.974275,0.934548,0.1242,0.7186
8,0.082881,0.090944,0.150481,0.090228,588310.483871,656939.516129,1528725.806452,0.974879,0.971949,0.934724,0.1695,0.6966
9,0.086145,0.09655,0.150486,0.094723,618681.451613,711508.064516,1528403.225806,0.973582,0.969619,0.934738,0.2039,0.6723
10,0.088966,0.101964,0.150661,0.098867,652286.290323,766104.83871,1525100.806452,0.972148,0.967288,0.934879,0.2387,0.6513
11,0.092277,0.107385,0.150703,0.102841,695717.741935,823221.774194,1524447.580645,0.970293,0.964849,0.934907,0.2616,0.6251
12,0.095194,0.112721,0.15097,0.106515,717975.806452,878181.451613,1522403.225806,0.969343,0.962502,0.934994,0.2868,0.6024
13,0.098974,0.118121,0.150966,0.10993,750891.129032,936185.483871,1521084.677419,0.967937,0.960025,0.93505,0.2979,0.5702
14,0.101369,0.123169,0.151426,0.113363,771536.290323,990298.387097,1522294.354839,0.967056,0.957715,0.934999,0.3227,0.5519
