method,lead_day,rmse,mae
persistence,1,0.025442,0.007075
persistence,2,0.037555,0.010753
persistence,3,0.046218,0.013321
persistence,4,0.053051,0.015336
persistence,5,0.058850,0.017046
persistence,6,0.063972,0.018547
persistence,7,0.068652,0.019928
persistence,8,0.073208,0.021275
persistence,9,0.077631,0.022587
persistence,10,0.081991,0.023893
persistence,11,0.086322,0.025222
persistence,12,0.090646,0.026583
persistence,13,0.094941,0.027958
persistence,14,0.099092,0.029308
climatology,1,0.121720,0.039352
climatology,2,0.121786,0.039408
climatology,3,0.121874,0.039467
climatology,4,0.121976,0.039528
climatology,5,0.122082,0.039587
climatology,6,0.122204,0.039647
climatology,7,0.122352,0.039717
climatology,8,0.122498,0.039785
climatology,9,0.122653,0.039856
climatology,10,0.122786,0.039921
climatology,11,0.122916,0.039985
climatology,12,0.123054,0.040048
climatology,13,0.123193,0.040108
climatology,14,0.123427,0.040191
damped_anomaly,1,0.027081,0.008893
damped_anomaly,2,0.039490,0.013396
damped_anomaly,3,0.048071,0.016510
damped_anomaly,4,0.054636,0.018898
damped_anomaly,5,0.060072,0.020869
damped_anomaly,6,0.064741,0.022540
damped_anomaly,7,0.068909,0.024016
damped_anomaly,8,0.072806,0.025368
damped_anomaly,9,0.076428,0.026588
damped_anomaly,10,0.079809,0.027711
damped_anomaly,11,0.082994,0.028759
damped_anomaly,12,0.085993,0.029742
damped_anomaly,13,0.088819,0.030666
damped_anomaly,14,0.091562,0.031539
ridge_regression,1,0.033995,0.009902
ridge_regression,2,0.042614,0.012412
ridge_regression,3,0.049588,0.014421
ridge_regression,4,0.055540,0.016136
ridge_regression,5,0.060859,0.017676
ridge_regression,6,0.065751,0.019100
ridge_regression,7,0.070358,0.020459
ridge_regression,8,0.074852,0.021794
ridge_regression,9,0.079245,0.023105
ridge_regression,10,0.083566,0.024421
ridge_regression,11,0.087829,0.025746
ridge_regression,12,0.092040,0.027080
ridge_regression,13,0.096188,0.028415
ridge_regression,14,0.100199,0.029727
